base_verb,conjugation_id,conjugated_verb
食べる,plain_present,食べる
食べる,polite_present,食べます
食べる,plain_negative,食べない
食べる,polite_negative,食べません
食べる,plain_past,食べた
食べる,polite_past,食べました
食べる,plain_past_negative,食べなかった
食べる,polite_past_negative,食べませんでした
食べる,continuous_past,食べていた
食べる,te_form,食べて
食べる,te_iru,食べている
食べる,te_ita,食べていた
食べる,te_aru,食べてある
食べる,te_oku,食べておく
食べる,te_ageru,食べてあげる
食べる,desire,食べたい
食べる,other_desire,食べたがる
食べる,plain_potential,食べられる
食べる,polite_potential,食べられます
食べる,plain_imperative,食べろ
食べる,polite_imperative,食べてください
食べる,negative_imperative,食べるな
食べる,plain_volitional,食べよう
食べる,polite_volitional,食べましょう
食べる,ba_conditional,食べれば
食べる,tara_conditional,食べたら
食べる,polite_tara_conditional,食べましたら
食べる,tara_conditional_past,食べましたら
食べる,plain_presumptive,食べるだろう
食べる,polite_presumptive,食べるでしょう
食べる,plain_past_presumptive,食べただろう
食べる,passive,食べられる
食べる,causative,食べさせる
食べる,causative_passive,食べさせられる
食べる,negative_request,食べないでください
食べる,representative,食べたり
食べる,way_of_doing,食べ方
食べる,apparent_reported,食べるそうだ
会う,plain_present,会う
会う,polite_present,会います
会う,plain_negative,会わない
会う,polite_negative,会いません
会う,plain_past,会った
会う,polite_past,会いました
会う,plain_past_negative,会わなかった
会う,polite_past_negative,会いませんでした
会う,continuous_past,会っていた
会う,te_form,会って
会う,te_iru,会っている
会う,te_ita,会っていた
会う,te_aru,会ってある
会う,te_oku,会っておく
会う,te_ageru,会ってあげる
会う,desire,会いたい
会う,other_desire,会いたがる
会う,plain_potential,会える
会う,polite_potential,会えます
会う,plain_imperative,会え
会う,polite_imperative,会ってください
会う,negative_imperative,会うな
会う,plain_volitional,会おう
会う,polite_volitional,会いましょう
会う,ba_conditional,会えば
会う,tara_conditional,会ったら
会う,polite_tara_conditional,会いましたら
会う,tara_conditional_past,会っていたら
会う,plain_presumptive,会うだろう
会う,polite_presumptive,会うでしょう
会う,plain_past_presumptive,会っただろう
会う,passive,会われる
会う,causative,会わせる
会う,causative_passive,会わせられる
会う,negative_request,会わないでください
会う,representative,会ったり
会う,way_of_doing,会い方
会う,apparent_reported,会うようだ
書く,plain_present,書く
書く,polite_present,書きます
書く,plain_negative,書かない
書く,polite_negative,書きません
書く,plain_past,書いた
書く,polite_past,書きました
書く,plain_past_negative,書かなかった
書く,polite_past_negative,書きませんでした
書く,continuous_past,書いていた
書く,te_form,書いて
書く,te_iru,書いている
書く,te_ita,書いていた
書く,te_aru,書いてある
書く,te_oku,書いておく
書く,te_ageru,書いてあげる
書く,desire,書きたい
